New_Bloc;Partij;AantalStemmen
B1;GROENLINKS / PvdA;1352163
B1;DENK;250368
B1;SP;199585
B1;BIJ1;40360
B2;D66;1790634
B2;Partij voor de Dieren;219371
B2;Volt;116468
B2;Vrede voor Dieren;16819
B2;Piratenpartij;10575
B2;ELLECT;205
B2;Partij voor de Rechtsstaat;151
B3;CDA;1246874
B3;SGP;238093
B3;ChristenUnie;201361
B3;50PLUS;151053
B3;NSC;39408
B3;FNP;9331
B3;NL PLAN;2299
B4;VVD;1505829
B4;LP;8248
B4;Vrij Verbond;1048
B5;PVV;1760966
B5;JA21;628517
B5;Forum voor Democratie;480393
B5;BBB;279916
B5;BVNL;18477
B5;DE LINIE;3478
